iter	Passed	Remaining
519	900	831
520	901	828
521	903	827
522	904	824
523	905	822
524	906	820
525	907	818
526	909	815
527	910	813
528	911	811
529	912	809
530	914	807
531	915	805
532	916	802
533	919	802
534	920	800
535	921	798
536	923	796
537	924	793
538	925	791
539	926	789
540	927	787
541	929	785
542	930	782
543	931	780
544	933	779
545	934	777
546	936	775
547	937	773
548	938	770
549	939	768
550	940	766
551	942	764
552	943	762
553	944	760
554	945	758
555	949	757
556	950	755
557	951	753
558	952	751
559	953	749
560	955	747
561	956	745
562	957	743
563	958	741
564	959	738
565	961	736
566	963	735
567	964	733
568	965	731
569	966	729
570	968	727
571	969	725
572	970	722
573	971	720
574	972	718
575	973	716
576	974	714
577	975	712
578	977	710
579	978	708
580	979	706
581	981	704
582	982	703
583	984	701
584	985	699
585	986	696
586	987	694
587	988	692
588	990	690
589	991	688
590	993	687
591	995	685
592	997	684
593	998	682
594	999	680
595	1000	678
596	1001	675
597	1002	673
598	1003	671
599	1004	669
600	1005	667
601	1005	665
602	1007	663
603	1008	661
604	1009	659
605	1011	657
606	1012	655
607	1013	653
608	1014	651
609	1015	649
610	1016	647
611	1017	645
612	1018	643
613	1019	641
614	1020	639
615	1022	637
616	1023	635
617	1024	633
618	1025	631
619	1026	629
620	1027	627
621	1028	625
622	1029	623
623	1030	620
624	1031	618
625	1032	616
626	1034	615
627	1035	613
628	1036	611
629	1038	609
630	1039	607
631	1040	605
632	1041	603
633	1042	601
634	1043	599
635	1044	597
636	1045	595
637	1046	593
638	1047	591
639	1048	589
640	1049	588
641	1051	586
642	1052	584
643	1053	582
644	1055	580
645	1056	578
646	1057	576
647	1058	574
648	1059	572
649	1060	571
650	1061	569
651	1062	567
652	1063	565
653	1064	563
654	1065	561
655	1067	559
656	1068	558
657	1070	556
658	1071	554
659	1072	552
660	1073	550
661	1074	548
662	1075	546
663	1076	544
664	1077	542
665	1078	540
666	1079	538
667	1083	538
668	1084	536
669	1085	534
670	1086	532
671	1087	530
672	1088	528
673	1089	526
674	1090	524
675	1091	522
676	1092	521
677	1092	519
678	1093	517
679	1094	515
680	1097	513
681	1098	512
682	1099	510
683	1100	508
684	1100	506
685	1101	504
686	1102	502
687	1103	500
688	1104	498
689	1105	496
690	1106	494
691	1107	492
692	1108	491
693	1109	489
694	1113	488
695	1114	486
696	1115	484
697	1116	483
698	1117	481
699	1118	479
700	1120	477
701	1121	475
702	1122	474
703	1123	472
704	1124	470
705	1126	469
706	1127	467
707	1128	465
708	1130	463
709	1131	462
710	1132	460
711	1133	458
712	1134	456
713	1135	454
714	1136	453
715	1137	451
716	1138	449
717	1139	447
718	1142	446
719	1144	444
720	1145	443
721	1146	441
722	1147	439
723	1148	437
724	1149	436
725	1151	434
726	1152	432
727	1153	430
728	1154	429
729	1155	427
730	1157	425
731	1158	424
732	1159	422
733	1160	420
734	1161	418
735	1162	417
736	1164	415
737	1165	413
738	1166	411
739	1167	410
740	1168	408
741	1169	406
742	1172	405
743	1173	403
744	1174	401
745	1175	400
746	1176	398
747	1177	396
748	1178	394
749	1179	393
750	1180	391
751	1181	389
752	1182	387
753	1183	386
754	1187	385
755	1188	383
756	1189	381
757	1190	380
758	1191	378
759	1192	376
760	1194	374
761	1195	373
762	1196	371
763	1197	369
764	1201	369
765	1203	367
766	1204	366
767	1206	364
768	1207	362
769	1208	360
770	1209	359
771	1210	357
772	1211	355
773	1212	354
774	1213	352
775	1215	350
776	1216	349
777	1217	347
778	1219	345
779	1220	344
780	1221	342
781	1222	340
782	1223	339
783	1224	337
784	1225	335
785	1226	334
786	1227	332
787	1228	330
788	1230	329
789	1232	327
790	1233	325
791	1234	324
792	1235	322
793	1236	320
794	1237	319
795	1238	317
796	1239	315
797	1240	313
798	1241	312
799	1242	310
800	1243	308
801	1244	307
802	1246	305
803	1247	304
804	1248	302
805	1249	300
806	1250	299
807	1251	297
808	1252	295
809	1253	294
810	1254	292
811	1255	290
812	1256	289
813	1257	287
814	1258	285
815	1260	284
816	1261	282
817	1262	280
818	1263	279
819	1264	277
820	1265	275
821	1266	274
822	1267	272
823	1268	270
824	1269	269
825	1270	267
826	1270	265
827	1271	264
828	1272	262
829	1273	260
830	1275	259
831	1276	257
832	1277	256
833	1278	254
834	1279	252
835	1280	251
836	1281	249
837	1282	247
838	1282	246
839	1283	244
840	1284	242
841	1285	241
842	1286	239
843	1287	237
844	1288	236
845	1290	234
846	1291	233
847	1291	231
848	1292	229
849	1293	228
850	1294	226
851	1295	225
852	1296	223
853	1297	221
854	1298	220
855	1299	218
856	1299	216
857	1300	215
858	1301	213
859	1302	212
860	1303	210
861	1305	208
862	1305	207
863	1306	205
864	1307	204
865	1308	202
866	1309	200
867	1310	199
868	1311	197
869	1312	196
870	1313	194
871	1313	192
872	1314	191
873	1315	189
874	1316	188
875	1317	186
876	1318	184
877	1319	183
878	1320	181
879	1321	180
880	1322	178
881	1323	177
882	1324	175
883	1325	173
884	1325	172
885	1326	170
886	1327	169
887	1328	167
888	1329	166
889	1330	164
890	1331	162
891	1332	161
892	1333	159
893	1334	158
894	1335	156
895	1336	155
896	1337	153
897	1338	152
898	1339	150
899	1340	148
900	1340	147
901	1341	145
902	1342	144
903	1343	142
904	1344	141
905	1345	139
906	1346	138
907	1346	136
908	1347	134
909	1349	133
910	1350	131
911	1351	130
912	1352	128
913	1353	127
914	1354	125
915	1355	124
916	1356	122
917	1357	121
918	1357	119
919	1358	118
920	1359	116
921	1360	115
922	1361	113
923	1362	112
924	1363	110
925	1364	109
926	1366	107
927	1367	106
928	1367	104
929	1368	103
930	1369	101
931	1370	100
932	1371	98
933	1372	96
934	1373	95
935	1374	93
936	1375	92
937	1375	90
938	1376	89
939	1377	87
940	1379	86
941	1380	84
942	1381	83
943	1381	81
944	1382	80
945	1383	78
946	1384	77
947	1385	75
948	1386	74
949	1387	73
950	1388	71
951	1388	70
952	1389	68
953	1390	67
954	1391	65
955	1392	64
956	1393	62
957	1394	61
958	1395	59
959	1396	58
960	1397	56
961	1398	55
962	1399	53
963	1400	52
964	1401	50
965	1402	49
966	1402	47
967	1403	46
968	1404	44
969	1405	43
970	1406	42
971	1407	40
972	1410	39
973	1411	37
974	1412	36
975	1413	34
976	1414	33
977	1415	31
978	1416	30
979	1417	28
980	1418	27
981	1419	26
982	1420	24
983	1421	23
984	1423	21
985	1424	20
986	1426	18
987	1427	17
988	1428	15
989	1429	14
990	1430	12
991	1431	11
992	1432	10
993	1433	8
994	1434	7
995	1435	5
996	1436	4
997	1438	2
998	1439	1
999	1440	0
